pa_count,pitch_count,k_pct,bb_pct,swing_pct,chase_pct,contact_pct,fps_swing_pct,zone_swing_pct,batter_id,season,era
700,2744,0.15,0.0985714285714285,0.4588192419825073,0.3117283950617284,0.8316123907863384,0.3071428571428571,0.6723518850987432,519203,2015,statcast
615,2266,0.1024390243902439,0.0585365853658536,0.4814651368049426,0.3535353535353535,0.843263061411549,0.2390243902439024,0.6226765799256505,134181,2015,statcast
561,2105,0.1515151515151515,0.0784313725490196,0.4498812351543943,0.2469823584029712,0.8331573389651531,0.2295373665480427,0.6624513618677043,276519,2015,statcast
348,1374,0.1494252873563218,0.0948275862068965,0.4446870451237263,0.2554278416347382,0.8363338788870703,0.2607449856733524,0.6977928692699491,519208,2015,statcast
185,686,0.2162162162162162,0.0486486486486486,0.5247813411078717,0.3842364532019704,0.775,0.2918918918918919,0.7311827956989247,571431,2015,statcast
507,2106,0.2051282051282051,0.1005917159763313,0.4102564102564102,0.2082082082082082,0.7951388888888888,0.272189349112426,0.5942028985507246,431145,2015,statcast
166,624,0.2710843373493976,0.0421686746987951,0.4919871794871794,0.3699059561128526,0.758957654723127,0.3072289156626506,0.6196721311475409,605227,2015,statcast
107,413,0.1588785046728972,0.0747663551401869,0.4406779661016949,0.2157894736842105,0.8351648351648352,0.2336448598130841,0.639269406392694,457775,2015,statcast
660,2301,0.1651515151515151,0.0318181818181818,0.5323772272924815,0.3585982070089649,0.8024489795918367,0.3045454545454545,0.7326454033771107,571448,2015,statcast
534,2085,0.1816479400749063,0.0898876404494382,0.4211031175059952,0.3036332179930796,0.8451025056947609,0.1722846441947565,0.5672766415500539,435263,2015,statcast
198,835,0.1969696969696969,0.101010101010101,0.4203592814371257,0.2068965517241379,0.8547008547008547,0.2613065326633166,0.5960698689956332,452672,2015,statcast
449,1780,0.242761692650334,0.1091314031180401,0.4550561797752809,0.2104664391353811,0.6938271604938272,0.4120267260579064,0.6936736958934517,543807,2015,statcast
259,991,0.193050193050193,0.0772200772200772,0.4571140262361251,0.2552301255230125,0.7858719646799117,0.3436293436293436,0.645224171539961,431171,2015,statcast
647,2530,0.222565687789799,0.0772797527047913,0.4814229249011857,0.3100929614873838,0.7717569786535303,0.345679012345679,0.7362745098039216,457803,2015,statcast
468,1743,0.1666666666666666,0.0427350427350427,0.4825014343086632,0.352260778128286,0.83115338882283,0.2579957356076759,0.6445859872611465,596059,2015,statcast
518,2136,0.2857142857142857,0.0752895752895752,0.4803370786516854,0.2800369685767098,0.7115009746588694,0.3011583011583011,0.6854146806482364,608365,2015,statcast
285,1060,0.1964912280701754,0.0596491228070175,0.5735849056603773,0.3950381679389313,0.8141447368421053,0.3368421052631579,0.7481343283582089,570482,2015,statcast
326,1252,0.2607361963190184,0.0889570552147239,0.4249201277955272,0.2642045454545454,0.7349624060150376,0.2707692307692307,0.6313868613138686,475253,2015,statcast
317,1186,0.1608832807570978,0.0630914826498422,0.4536256323777403,0.265905383360522,0.8754646840148699,0.2302839116719243,0.656084656084656,430203,2015,statcast
275,1101,0.2545454545454545,0.0618181818181818,0.522252497729337,0.3087478559176672,0.7808695652173913,0.391304347826087,0.7655038759689923,467070,2015,statcast
192,754,0.203125,0.0989583333333333,0.4535809018567639,0.2713178294573643,0.8128654970760234,0.2135416666666666,0.6457765667574932,519295,2015,statcast
400,1447,0.125,0.055,0.4125777470628887,0.2425531914893617,0.9011725293132328,0.18,0.5741239892183289,519299,2015,statcast
442,1741,0.1877828054298642,0.0610859728506787,0.4842044801838024,0.3089430894308943,0.8078291814946619,0.2466063348416289,0.6575028636884307,500871,2015,statcast
471,1841,0.227176220806794,0.0658174097664543,0.4530146659424226,0.2906610703043022,0.7805755395683454,0.2505307855626327,0.626410835214447,501896,2015,statcast
426,1703,0.3356807511737089,0.1056338028169014,0.4644744568408691,0.2587822014051522,0.7016434892541087,0.4215456674473068,0.6713780918727915,519306,2015,statcast
310,1104,0.2161290322580645,0.0483870967741935,0.4755434782608695,0.3282051282051282,0.7428571428571429,0.2572347266881029,0.6416184971098265,547982,2015,statcast
665,2515,0.2105263157894736,0.0421052631578947,0.4882703777335984,0.3492407809110629,0.7654723127035831,0.2042042042042042,0.6587091069849691,547989,2015,statcast
108,389,0.1851851851851851,0.0833333333333333,0.4601542416452442,0.2821782178217821,0.776536312849162,0.287037037037037,0.6524064171122995,544925,2015,statcast
