pa_count,pitch_count,ff_pct,si_pct,fc_pct,sl_pct,ch_pct,cu_pct,hard_pct,offspeed_pct,fps_rate,zone_rate,chase_rate_induced,pitcher_id,season,era
302,1145,0.2835420393559928,0.3103756708407871,0.0,0.40608228980322,0.0,0.0,0.59391771019678,0.0,0.5182724252491694,0.4597902097902098,0.2783171521035599,472610,2015,statcast
309,1262,0.7464114832535885,0.0031897926634768,0.0,0.0,0.1842105263157894,0.0661881977671451,0.7496012759170654,0.2503987240829346,0.6334405144694534,0.4968304278922345,0.2283464566929134,543779,2015,statcast
122,530,0.6196911196911197,0.0019305019305019,0.0,0.1949806949806949,0.1833976833976834,0.0,0.6216216216216216,0.1833976833976834,0.6475409836065574,0.4792452830188679,0.2391304347826087,430630,2015,statcast
264,967,0.4223149113660062,0.0,0.173096976016684,0.0031282586027111,0.1616266944734098,0.2398331595411887,0.5954118873826904,0.4014598540145985,0.678030303030303,0.5491209927611168,0.2454128440366972,543278,2015,statcast
287,1036,0.0894941634241245,0.6556420233463035,0.0,0.0,0.0651750972762646,0.1896887159533073,0.745136186770428,0.2548638132295719,0.6132404181184669,0.5164092664092664,0.3393213572854291,462382,2015,statcast
268,931,0.3581599123767798,0.2869660460021905,0.0,0.2519167579408543,0.0065717415115005,0.0963855421686747,0.6451259583789704,0.1029572836801752,0.6356877323420075,0.5323275862068966,0.3018433179723502,430641,2015,statcast
280,943,0.0341880341880341,0.7799145299145299,0.0,0.1485042735042735,0.0373931623931623,0.0,0.8141025641025641,0.0373931623931623,0.6071428571428571,0.4220572640509014,0.4036697247706422,453172,2015,statcast
262,1016,0.3306930693069307,0.2702970297029703,0.0138613861386138,0.3495049504950495,0.0356435643564356,0.0,0.614851485148515,0.0356435643564356,0.6273764258555133,0.4857142857142857,0.2950191570881226,444468,2015,statcast
261,1038,0.439143135345667,0.11587147030185,0.0,0.2551119766309639,0.0827653359298929,0.107108081791626,0.555014605647517,0.189873417721519,0.5343511450381679,0.4614643545279383,0.2737030411449016,452666,2015,statcast
257,1070,0.7297039159503342,0.0143266475644699,0.0,0.2492836676217765,0.0066857688634192,0.0,0.7440305635148041,0.0066857688634192,0.6264591439688716,0.4873713751169317,0.2627737226277372,504379,2015,statcast
164,637,0.6724806201550387,0.1085271317829457,0.063953488372093,0.1550387596899224,0.0,0.0,0.8449612403100775,0.0,0.6073619631901841,0.478806907378336,0.286144578313253,501822,2015,statcast
152,641,0.4960753532182103,0.0627943485086342,0.0031397174254317,0.0313971742543171,0.4050235478806907,0.0015698587127158,0.5620094191522763,0.4065934065934066,0.506578947368421,0.4773790951638065,0.226865671641791,592454,2015,statcast
220,832,0.4471153846153846,0.0144230769230769,0.0,0.5384615384615384,0.0,0.0,0.4615384615384615,0.0,0.6818181818181818,0.5180288461538461,0.3541147132169576,453192,2015,statcast
249,871,0.7794520547945205,0.0178082191780821,0.0,0.2027397260273972,0.0,0.0,0.7972602739726027,0.0,0.668,0.5097588978185993,0.3793911007025761,449097,2015,statcast
256,1000,0.498989898989899,0.1383838383838384,0.0,0.1919191919191919,0.0585858585858585,0.1121212121212121,0.6373737373737374,0.1707070707070707,0.54296875,0.4624624624624625,0.2737430167597765,623184,2015,statcast
200,717,0.0140056022408963,0.8207282913165266,0.0,0.0,0.0294117647058823,0.1358543417366946,0.8347338935574229,0.165266106442577,0.55,0.4867503486750348,0.233695652173913,641627,2015,statcast
202,862,0.5431235431235432,0.0186480186480186,0.0,0.0606060606060606,0.0,0.3776223776223776,0.5617715617715618,0.3776223776223776,0.5970149253731343,0.4118329466357308,0.2800788954635108,518748,2015,statcast
260,1105,0.69,0.0,0.0,0.1163636363636363,0.0363636363636363,0.1572727272727273,0.69,0.1936363636363636,0.5269230769230769,0.4347826086956521,0.2836538461538461,543331,2015,statcast
147,583,0.8565400843881856,0.1181434599156118,0.0,0.0253164556962025,0.0,0.0,0.9746835443037974,0.0,0.7278911564625851,0.4425385934819897,0.3846153846153846,493157,2015,statcast
288,1147,0.3796133567662565,0.2047451669595782,0.0,0.1546572934973638,0.2609841827768014,0.0,0.5843585237258347,0.2609841827768014,0.5763888888888888,0.4528795811518324,0.2966507177033493,543339,2015,statcast
