balls,strikes,deficit,runs_scored,fastballs_seen,count,optimal_action,value
0,2,1,1,1,0-2,take,0.17574746099875235
0,2,1,1,2,0-2,take,0.17040103539628854
0,2,1,1,3,0-2,take,0.17100847931638619
0,2,1,2,0,0-2,take,0.17446938090721864
0,2,1,2,1,0-2,take,0.17574746099875235
0,2,1,2,2,0-2,take,0.17040103539628854
0,2,1,2,3,0-2,take,0.17100847931638619
0,2,1,3,0,0-2,take,0.17446938090721864
0,2,1,3,1,0-2,take,0.17574746099875235
0,2,1,3,2,0-2,take,0.17040103539628854
0,2,1,3,3,0-2,take,0.17100847931638619
0,2,2,0,0,0-2,take,0.1267407891470143
0,2,2,0,1,0-2,take,0.12766923216980586
0,2,2,0,2,0-2,take,0.12378539767432829
0,2,2,0,3,0-2,take,0.12422666663163992
0,2,2,1,0,0-2,take,0.1267407891470143
0,2,2,1,1,0-2,take,0.12766923216980586
0,2,2,1,2,0-2,take,0.12378539767432829
0,2,2,1,3,0-2,take,0.12422666663163992
0,2,2,2,0,0-2,take,0.1267407891470143
0,2,2,2,1,0-2,take,0.12766923216980586
0,2,2,2,2,0-2,take,0.12378539767432829
0,2,2,2,3,0-2,take,0.12422666663163992
0,2,2,3,0,0-2,take,0.1267407891470143
0,2,2,3,1,0-2,take,0.12766923216980586
0,2,2,3,2,0-2,take,0.12378539767432829
0,2,2,3,3,0-2,take,0.12422666663163992
0,2,3,0,0,0-2,take,0.09206903521275123
0,2,3,0,1,0-2,take,0.09274348937966724
0,2,3,0,2,0-2,swing,0.10021641783612276
0,2,3,0,3,0-2,swing,0.0960429539007618
0,2,3,1,0,0-2,take,0.09206903521275123
0,2,3,1,1,0-2,take,0.09274348937966724
0,2,3,1,2,0-2,swing,0.10021641783612276
0,2,3,1,3,0-2,swing,0.0960429539007618
0,2,3,2,0,0-2,take,0.09206903521275123
0,2,3,2,1,0-2,take,0.09274348937966724
0,2,3,2,2,0-2,swing,0.10021641783612276
