scenario,balls,strikes,deficit,count,optimal_action,value
flyball_rev,0,1,3,0-1,take,0.22915959311961065
flyball_rev,0,2,0,0-2,swing,0.44193595137798747
flyball_rev,0,2,1,0-2,swing,0.2119077853418368
flyball_rev,0,2,2,0-2,swing,0.16551202531593673
flyball_rev,0,2,3,0-2,swing,0.15445168142342486
flyball_rev,1,0,0,1-0,take,0.8332358524728334
flyball_rev,1,0,1,1-0,take,0.6248297652968637
flyball_rev,1,0,2,1-0,take,0.4554640227923521
flyball_rev,1,0,3,1-0,take,0.3350099904125541
flyball_rev,1,1,0,1-1,take,0.6680342500825306
flyball_rev,1,1,1,1-1,take,0.4805853203211389
flyball_rev,1,1,2,1-1,take,0.35031833540653307
flyball_rev,1,1,3,1-1,take,0.2628728766901568
flyball_rev,1,2,0,1-2,swing,0.44193595137798747
flyball_rev,1,2,1,1-2,take,0.24864179847233733
flyball_rev,1,2,2,1-2,take,0.1812451967860584
flyball_rev,1,2,3,1-2,swing,0.15445168142342486
flyball_rev,2,0,0,2-0,take,0.9077860330219468
flyball_rev,2,0,1,2-0,take,0.6899226533837924
flyball_rev,2,0,2,2-0,take,0.5029128965769968
flyball_rev,2,0,3,2-0,take,0.36756315554939273
flyball_rev,2,1,0,2-1,take,0.770065155027678
flyball_rev,2,1,1,2-1,take,0.585253986852504
flyball_rev,2,1,2,2-1,take,0.42661561599504194
flyball_rev,2,1,3,2-1,take,0.31179988255390184
flyball_rev,2,2,0,2-2,take,0.4747935602986719
flyball_rev,2,2,1,2-2,take,0.3608458612657415
flyball_rev,2,2,2,2-2,take,0.26303533652369493
flyball_rev,2,2,3,2-2,take,0.19224422170334254
flyball_rev,3,0,0,3-0,take,0.9699350447221969
flyball_rev,3,0,1,3-0,take,0.7371562629544588
flyball_rev,3,0,2,3-0,take,0.5373434103330035
flyball_rev,3,0,3,3-0,take,0.3927273312087246
flyball_rev,3,1,0,3-1,take,0.9033117481573574
flyball_rev,3,1,1,3-1,take,0.6865221709204853
flyball_rev,3,1,2,3-1,take,0.5004341455546524
flyball_rev,3,1,3,3-1,take,0.3657515150752341
flyball_rev,3,2,0,3-2,take,0.6890526542280146
flyball_rev,3,2,1,3-2,take,0.5236840160931201
flyball_rev,3,2,2,3-2,take,0.3817347410397418
flyball_rev,3,2,3,3-2,take,0.2789978684390014
